ID,SchoolCode,SchoolName,Address,City,StateCode,ZipCode,Province,Country,PostalCode
26223,E01127,RENSSELAER POLYTECHNIC INSTITUTE-RENSSEL,275 WINDSOR STREET,HARTFORD,CT,06120,,,
26224,E01135,SANFORD-BROWN INSTITUTE - FT. LAUDERDALE,1201 CYPRESS CREEK ROAD,FT. LAUDERDALE,FL,33309,,,
26225,E01136,SANFORD-BROWN COLLEGE - HOUSTON,9999 RICHMOND AVENUE,HOUSTON,TX,77042,,,
26226,E01140,SANFORD-BROWN COLLEGE - SANFORD-BROWN IN,"711 STEWART AVENUE, 2ND FLOOR",GARDEN CITY,NY,11530,,,
26227,E01142,SANFORD-BROWN INSTITUTE - ISELIN,"675 US ROUTE 1 SOUTH, SECOND FLOOR",ISELIN,NJ,08830,,,
26228,E01154,TWIN CITY BEAUTY COLLEGE - TRAVERSE CITY,1144 BOON STREET,TRAVERSE CITY,MI,49686,,,
26229,E01155,UTAH COLLEGE OF MASSAGE THERAPY - DENVER,8991 B HARLAN STREET SUITE B,WESTMINSTER,CO,80031,,,
26230,E01156,UTAH COLLEGE OF MASSAGE THERAPY - DENVER,14107A EAST EXPOSITION AVENUE,AURORA,CO,80012,,,
26231,E01166,JOHN DEWEY COLLEGE - FAJARDO BRANCH,267 GENERAL VALERO AVENUE,FAJARDO,PR,00738,,,
26232,E01169,VATTEROTT COLLEGE - O'FALLON,927-1015 EAST TERRA LANE,O'FALLON,MO,63366,,,
26233,E01170,VATTEROTT COLLEGE - L'ECOLE CULINAIRE,9811 SOUTH OUTER FORTY DRIVE,ST. LOUIS,MO,63124,,,
26234,E01173,REMINGTON COLLEGE - NORTH HOUSTON CAMPUS,11310 GREENS CROSSING BOULEVARD,HOUSTON,TX,77067,,,
26235,E01178,MILLER-MOTTE TECHNICAL COLLEGE - MILLER-,2205 WALNUT STREET,CARY,NC,27511,,,
26236,E01180,PRYOR BEAUTY COLLEGE - GROVE BEAUTY COLL,63155 EAST 290 ROAD,GROVE,OK,74345,,,
26237,E01182,KAPLAN COLLEGE -  PALM SPRINGS,2475 EAST TAHQUITZ CANYON WAY,PALM SPRINGS,CA,92262,,,
26238,E01190,KAPLAN UNIVERSITY - LEWISTON,475 LISBON STREET,LEWISTON,ME,04240,,,
26239,E01191,KAPLAN COLLEGE - BAKERSFIELD,1914 WIBLE ROAD,BAKERSFIELD,CA,93304,,,
26240,E01193,RASMUSSEN COLLEGE - BROOKLYN PARK,8301 93RD AVENUE NORTH,BROOKLYN PARK,MN,55445,,,
26241,E01195,TEXAS SCHOOL OF BUSINESS - FRIENDSWOOD C,BAYWOOD PLAZA,FRIENDSWOOD,TX,77546,,,
26242,E01197,KAPLAN COLLEGE - FRESNO,44 SHAW AVENUE,CLOVIS,CA,93612,,,
26243,E01198,MITCHELL'S HAIR STYLING ACADEMY - MITCHE,1301 BUCK JONES ROAD,RALEIGH,NC,27606,,,
26244,E01200,DELTA COLLEGE - SLIDELL,"105 GAUSE BOULEVARD, WEST",SLIDELL,LA,70460,,,
26245,E01208,DELTA COLLEGE OF ARTS & TECHNOLOGY - LAF,"200 REPUBLIC AVENUE, SUITE F",LAFAYETTE,LA,70508,,,
26246,E01209,HARRISON COLLEGE - NORTHWEST,6300 TECHNOLOGY CENTER DRIVE,INDIANAPOLIS,IN,46278,,,
26247,E01214,SAINT GREGORY'S UNIVERSITY - IPD TULSA,5801 EAST 41ST STREET,TULSA,OK,74135,,,
